Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Title,Artist_clean,Title_clean
The Weeknd - Blinding Lights,2416,446.0,1,(x82),8453567,5409337902,The Weeknd,Blinding Lights,the weeknd,blinding lights
Harry Styles - As It Was,1516,426.0,1,(x81),16103849,4402951367,Harry Styles,As It Was,harry styles,as it was
Ed Sheeran - Shape of You,2930,237.0,1,(x98),9878194,4402714144,Ed Sheeran,Shape of You,ed sheeran,shape of you
The Neighbourhood - Sweater Weather,2235,,12,,3342205,4109218384,The Neighbourhood,Sweater Weather,the neighbourhood,sweater weather
Lewis Capaldi - Someone You Loved,2388,107.0,4,,3974554,3902396693,Lewis Capaldi,Someone You Loved,lewis capaldi,someone you loved
The Weeknd - Starboy,2210,145.0,1,(x40),5125218,3833904002,The Weeknd,Starboy,the weeknd,starboy
Billie Eilish - BIRDS OF A FEATHER,789,486.0,1,(x25),10082989,3802285452,Billie Eilish,BIRDS OF A FEATHER,billie eilish,birds of a feather
Lady Gaga - Die With A Smile,698,417.0,1,(x201),11621474,3776108550,Lady Gaga,Die With A Smile,lady gaga,die with a smile
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,2404,213.0,1,(x16),5033261,3736881972,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,post malone,sunflower - spider-man: into the spider-verse
Ed Sheeran - Perfect,3171,102.0,3,(x1),3690839,3678412757,Ed Sheeran,Perfect,ed sheeran,perfect
Billie Eilish - lovely,2769,,19,,2085328,3458657426,Billie Eilish,lovely,billie eilish,lovely
The Kid LAROI - Stay,1312,299.0,1,(x84),10629302,3399238469,The Kid LAROI,Stay,the kid laroi,stay
Drake - One Dance,2250,187.0,1,(x101),7196287,3372192930,Drake,One Dance,drake,one dance
Arctic Monkeys - I Wanna Be Yours,1469,,11,,3186952,3347550094,Arctic Monkeys,I Wanna Be Yours,arctic monkeys,i wanna be yours
Imagine Dragons - Believer,2952,,15,,2572100,3314004592,Imagine Dragons,Believer,imagine dragons,believer
Coldplay - Yellow,2024,,15,,3078369,3118264517,Coldplay,Yellow,coldplay,yellow
Glass Animals - Heat Waves,1426,258.0,1,(x65),5003951,3099680325,Glass Animals,Heat Waves,glass animals,heat waves
Tom Odell - Another Love,1831,,11,,3052832,3082016539,Tom Odell,Another Love,tom odell,another love
Sabrina Carpenter - Espresso,824,224.0,1,(x32),11692253,3056541779,Sabrina Carpenter,Espresso,sabrina carpenter,espresso
Benson Boone - Beautiful Things,908,218.0,1,(x35),9256894,3020296524,Benson Boone,Beautiful Things,benson boone,beautiful things
Vance Joy - Riptide,2701,,16,,2526786,2885886359,Vance Joy,Riptide,vance joy,riptide
Jung Kook - Seven,1088,153.0,1,(x71),17902017,2807229041,Jung Kook,Seven,jung kook,seven
Taylor Swift - Cruel Summer,1026,257.0,2,(x18),5405688,2716838485,Taylor Swift,Cruel Summer,taylor swift,cruel summer
Djo - End of Beginning,879,181.0,1,(x35),9308588,2688466968,Djo,End of Beginning,djo,end of beginning
Lord Huron - The Night We Met,1442,,15,,3221586,2640066094,Lord Huron,The Night We Met,lord huron,the night we met
The Weeknd - Die For You,1572,2.0,9,,3554197,2631736342,The Weeknd,Die For You,the weeknd,die for you
The Weeknd - One Of The Girls,1011,80.0,2,(x2),5073947,2619423792,The Weeknd,One Of The Girls,the weeknd,one of the girls
Harry Styles - Watermelon Sugar,1564,127.0,4,,4321515,2598700368,Harry Styles,Watermelon Sugar,harry styles,watermelon sugar
James Arthur - Say You Won't Let Go,2483,97.0,6,,2817950,2591662993,James Arthur,Say You Won't Let Go,james arthur,say you won't let go
The Police - Every Breath You Take,1734,15.0,6,,3784859,2570650004,The Police,Every Breath You Take,the police,every breath you take
The Chainsmokers - Something Just Like This,2086,86.0,2,(x14),4937390,2564244397,The Chainsmokers,Something Just Like This,the chainsmokers,something just like this
OneRepublic - Counting Stars,2610,,31,,1717699,2534535975,OneRepublic,Counting Stars,onerepublic,counting stars
Tones And I - Dance Monkey,1048,286.0,1,(x120),8928593,2508984101,Tones And I,Dance Monkey,tones and i,dance monkey
Teddy Swims - Lose Control,971,57.0,5,,5154184,2486589837,Teddy Swims,Lose Control,teddy swims,lose control
ROSÉ - APT.,635,251.0,1,(x28),14596132,2471714251,ROSÉ,APT.,rosé,apt.
Jimin - Who,723,188.0,1,(x20),10674703,2468287250,Jimin,Who,jimin,who
Miley Cyrus - Flowers,807,179.0,1,(x82),18424325,2461768970,Miley Cyrus,Flowers,miley cyrus,flowers
Arctic Monkeys - 505,1652,,40,,1987531,2431081810,Arctic Monkeys,505,arctic monkeys,505
SZA - Kill Bill,848,174.0,1,(x20),8455200,2414898521,SZA,Kill Bill,sza,kill bill
The Chainsmokers - Closer,1875,191.0,1,(x82),6875523,2361939188,The Chainsmokers,Closer,the chainsmokers,closer
Coldplay - Viva La Vida,1444,,27,,2811786,2258772198,Coldplay,Viva La Vida,coldplay,viva la vida
Bruno Mars - Locked out of Heaven,1663,,14,,3445221,2252225122,Bruno Mars,Locked out of Heaven,bruno mars,locked out of heaven
"Tyler, The Creator - See You Again",1181,,13,,3276823,2184996464,"Tyler, The Creator",See You Again,"tyler, the creator",see you again
The Goo Goo Dolls - Iris,1034,5.0,9,,3333439,2165996458,The Goo Goo Dolls,Iris,the goo goo dolls,iris
Eminem - Without Me,1725,,29,,2404685,2157370825,Eminem,Without Me,eminem,without me
Hozier - Take Me To Church,2205,139.0,1,(x30),2140282,2136257540,Hozier,Take Me To Church,hozier,take me to church
Mariah Carey - All I Want for Christmas Is You,622,273.0,1,(x86),24863570,2122559136,Mariah Carey,All I Want for Christmas Is You,mariah carey,all i want for christmas is you
Billie Eilish - WILDFLOWER,789,36.0,8,,6821322,2106105852,Billie Eilish,WILDFLOWER,billie eilish,wildflower
"Chappell Roan - Good Luck, Babe!",766,133.0,5,,6303841,2098556132,Chappell Roan,"Good Luck, Babe!",chappell roan,"good luck, babe!"
Dua Lipa - Don't Start Now,1152,235.0,2,(x7),6100930,2095889464,Dua Lipa,Don't Start Now,dua lipa,don't start now
Post Malone - rockstar,1208,185.0,1,(x114),7156650,2052310834,Post Malone,rockstar,post malone,rockstar
Shawn Mendes - Señorita,1021,170.0,1,(x102),9936178,2046655077,Shawn Mendes,Señorita,shawn mendes,señorita
Tate McRae - greedy,789,206.0,1,(x34),6282050,2025082587,Tate McRae,greedy,tate mcrae,greedy
Kendrick Lamar - All The Stars,1131,74.0,2,(x14),7399673,2018420496,Kendrick Lamar,All The Stars,kendrick lamar,all the stars
Bad Bunny - DtMF,556,178.0,1,(x43),16526556,2002264794,Bad Bunny,DtMF,bad bunny,dtmf
Bruno Mars - That's What I Like,1369,57.0,5,,3482628,2000173728,Bruno Mars,That's What I Like,bruno mars,that's what i like
Alex Warren - Ordinary,523,263.0,1,(x52),6117943,1999909010,Alex Warren,Ordinary,alex warren,ordinary
Cigarettes After Sex - Apocalypse,1408,,44,,1982056,1990527523,Cigarettes After Sex,Apocalypse,cigarettes after sex,apocalypse
Ariana Grande - we can't be friends (wait for your love),825,50.0,1,(x13),9432687,1977835752,Ariana Grande,we can't be friends (wait for your love),ariana grande,we can't be friends (wait for your love)
Gigi Perez - Sailor Song,696,76.0,5,,4950780,1977776042,Gigi Perez,Sailor Song,gigi perez,sailor song
sombr - back to friends,484,319.0,1,(x3),6259851,1977220331,sombr,back to friends,sombr,back to friends
Elton John - Cold Heart - PNAU Remix,1009,199.0,2,(x1),5699348,1972427296,Elton John,Cold Heart - PNAU Remix,elton john,cold heart - pnau remix
Manuel Turizo - La Bachata,853,173.0,3,(x3),4806467,1936624976,Manuel Turizo,La Bachata,manuel turizo,la bachata
Travis Scott - goosebumps,1954,1.0,10,,3297928,1919311891,Travis Scott,goosebumps,travis scott,goosebumps
Juice WRLD - Lucid Dreams,1426,110.0,2,(x6),5544528,1896783804,Juice WRLD,Lucid Dreams,juice wrld,lucid dreams
Post Malone - Circles,1190,131.0,1,(x3),7292777,1891712728,Post Malone,Circles,post malone,circles
Billie Eilish - bad guy,949,169.0,1,(x41),7220348,1887770085,Billie Eilish,bad guy,billie eilish,bad guy
Ed Sheeran - Photograph,2325,,13,,1769541,1886233733,Ed Sheeran,Photograph,ed sheeran,photograph
David Guetta - I'm Good (Blue),810,144.0,1,(x1),6863607,1871877445,David Guetta,I'm Good (Blue),david guetta,i'm good (blue)
Bruno Mars - Just the Way You Are,1312,,24,,2737304,1868596148,Bruno Mars,Just the Way You Are,bruno mars,just the way you are
The Killers - Mr. Brightside,1797,,29,,2417656,1866835459,The Killers,Mr. Brightside,the killers,mr. brightside
Hozier - Too Sweet,671,91.0,2,(x10),8742996,1834937686,Hozier,Too Sweet,hozier,too sweet
Bruno Mars - When I Was Your Man,1580,,28,,2663783,1821883115,Bruno Mars,When I Was Your Man,bruno mars,when i was your man
FloyyMenor - Gata Only,628,148.0,2,(x1),8628580,1806593089,FloyyMenor,Gata Only,floyymenor,gata only
Wham! - Last Christmas,563,216.0,1,(x5),24556791,1800431221,Wham!,Last Christmas,wham!,last christmas
HUNTR/X - Golden,388,212.0,1,(x78),8554706,1799304583,HUNTR/X,Golden,huntr/x,golden
The Weeknd - Save Your Tears,1199,89.0,2,(x28),5000774,1776397493,The Weeknd,Save Your Tears,the weeknd,save your tears
Gracie Abrams - That’s So True,620,179.0,3,(x7),7335731,1759566901,Gracie Abrams,That’s So True,gracie abrams,that’s so true
Keane - Somewhere Only We Know,1300,,60,,1815360,1758117193,Keane,Somewhere Only We Know,keane,somewhere only we know
KAROL G - Si Antes Te Hubiera Conocido,698,112.0,4,,6441001,1754953451,KAROL G,Si Antes Te Hubiera Conocido,karol g,si antes te hubiera conocido
Lady Gaga - Shallow,1266,79.0,2,(x6),5451577,1716595020,Lady Gaga,Shallow,lady gaga,shallow
Kendrick Lamar - Not Like Us,553,116.0,1,(x10),12809644,1716306826,Kendrick Lamar,Not Like Us,kendrick lamar,not like us
The Walters - I Love You So,1216,,18,,2139814,1707448127,The Walters,I Love You So,the walters,i love you so
Macklemore & Ryan Lewis - Can't Hold Us,1323,,57,,1928158,1692854689,Macklemore & Ryan Lewis,Can't Hold Us,macklemore & ryan lewis,can't hold us
OneRepublic - I Ain't Worried,797,53.0,7,,3861127,1664385796,OneRepublic,I Ain't Worried,onerepublic,i ain't worried
Sabrina Carpenter - Please Please Please,527,129.0,1,(x19),12835312,1660362179,Sabrina Carpenter,Please Please Please,sabrina carpenter,please please please
One Direction - Night Changes,1328,7.0,6,,5150464,1656087446,One Direction,Night Changes,one direction,night changes
Bad Bunny - BAILE INoLVIDABLE,556,105.0,2,(x15),11319684,1633225883,Bad Bunny,BAILE INoLVIDABLE,bad bunny,baile inolvidable
Ruth B. - Dandelions,1192,,32,,1772730,1632768311,Ruth B.,Dandelions,ruth b.,dandelions
Lil Nas X - INDUSTRY BABY,564,275.0,2,(x61),8808346,1629821771,Lil Nas X,INDUSTRY BABY,lil nas x,industry baby
Bad Bunny - Tití Me Preguntó,598,186.0,4,,7640843,1627194220,Bad Bunny,Tití Me Preguntó,bad bunny,tití me preguntó
Linkin Park - In the End,1127,1.0,8,,3356242,1623423258,Linkin Park,In the End,linkin park,in the end
Olivia Rodrigo - good 4 u,549,121.0,1,(x47),12586645,1622311439,Olivia Rodrigo,good 4 u,olivia rodrigo,good 4 u
Bad Bunny - Me Porto Bonito,583,176.0,2,(x5),8738392,1618419161,Bad Bunny,Me Porto Bonito,bad bunny,me porto bonito
Adele - Easy On Me,801,152.0,1,(x47),19749704,1607515051,Adele,Easy On Me,adele,easy on me
Olivia Rodrigo - drivers license,693,112.0,1,(x67),13714177,1597185646,Olivia Rodrigo,drivers license,olivia rodrigo,drivers license
Dua Lipa - Levitating,812,80.0,4,,4626710,1581427006,Dua Lipa,Levitating,dua lipa,levitating
The Weeknd - Timeless,649,36.0,2,(x1),10043439,1577873809,The Weeknd,Timeless,the weeknd,timeless
Radiohead - Creep,957,,22,,2445752,1570570728,Radiohead,Creep,radiohead,creep
SZA - Snooze,893,,25,,3100334,1549141630,SZA,Snooze,sza,snooze
French Montana - Unforgettable,1048,116.0,3,(x8),3739539,1542113165,French Montana,Unforgettable,french montana,unforgettable
Ariana Grande - 7 rings,1000,112.0,1,(x68),10445538,1527094696,Ariana Grande,7 rings,ariana grande,7 rings
DJ Snake - Let Me Love You,924,155.0,2,(x7),4901972,1515532108,DJ Snake,Let Me Love You,dj snake,let me love you
Justin Bieber - Ghost,972,8.0,10,,2641055,1502032372,Justin Bieber,Ghost,justin bieber,ghost
XXXTENTACION - SAD!,1139,77.0,1,(x10),10415088,1501007363,XXXTENTACION,SAD!,xxxtentacion,sad!
Taylor Swift - The Fate of Ophelia,285,168.0,1,(x78),30987370,1499347291,Taylor Swift,The Fate of Ophelia,taylor swift,the fate of ophelia
Taylor Swift - Anti-Hero,548,85.0,1,(x20),17390253,1495696849,Taylor Swift,Anti-Hero,taylor swift,anti-hero
Queen - Bohemian Rhapsody - Remastered 2011,1575,3.0,10,,2728139,1489726781,Queen,Bohemian Rhapsody - Remastered 2011,queen,bohemian rhapsody - remastered 2011
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",480,154.0,1,(x55),8623941,1475187557,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",bizarrap,"quevedo: bzrp music sessions, vol. 52"
Lana Del Rey - Summertime Sadness,1130,,74,,1646634,1460951229,Lana Del Rey,Summertime Sadness,lana del rey,summertime sadness
XXXTENTACION - Jocelyn Flores,1481,9.0,2,(x3),7900110,1447811195,XXXTENTACION,Jocelyn Flores,xxxtentacion,jocelyn flores
Kendrick Lamar - luther,501,136.0,2,(x20),10600316,1446598685,Kendrick Lamar,luther,kendrick lamar,luther
Lil Nas X - MONTERO (Call Me By Your Name),513,157.0,1,(x40),8588023,1437151704,Lil Nas X,MONTERO (Call Me By Your Name),lil nas x,montero (call me by your name)
Shaboozey - A Bar Song (Tipsy),527,77.0,5,,7604741,1436167093,Shaboozey,A Bar Song (Tipsy),shaboozey,a bar song (tipsy)
Mitski - My Love Mine All Mine,560,115.0,2,(x4),4862101,1427630260,Mitski,My Love Mine All Mine,mitski,my love mine all mine
Travis Scott - SICKO MODE,1037,141.0,2,(x5),6546842,1425985849,Travis Scott,SICKO MODE,travis scott,sicko mode
Drake - God's Plan,717,146.0,1,(x74),8553009,1419636888,Drake,God's Plan,drake,god's plan
BTS - Dynamite,780,119.0,1,(x1),7778950,1392283880,BTS,Dynamite,bts,dynamite
SAINt JHN - Roses - Imanbek Remix,680,159.0,2,(x2),5234607,1388148423,SAINt JHN,Roses - Imanbek Remix,saint jhn,roses - imanbek remix
J. Cole - No Role Modelz,1600,,59,,1867073,1385586138,J. Cole,No Role Modelz,j. cole,no role modelz
Bad Bunny - NUEVAYoL,556,56.0,2,(x1),10759223,1385048054,Bad Bunny,NUEVAYoL,bad bunny,nuevayol
J Balvin - LA CANCIÓN,1051,3.0,7,,5364452,1378257186,J Balvin,LA CANCIÓN,j balvin,la canción
24kGoldn - Mood,626,189.0,1,(x35),6367748,1377292794,24kGoldn,Mood,24kgoldn,mood
Maroon 5 - Memories,889,99.0,2,(x5),4917468,1370441199,Maroon 5,Memories,maroon 5,memories
Brenda Lee - Rockin' Around The Christmas Tree,420,147.0,2,(x1),21635497,1367537621,Brenda Lee,Rockin' Around The Christmas Tree,brenda lee,rockin' around the christmas tree
Tears For Fears - Everybody Wants To Rule The World,1064,,36,,2222187,1350512766,Tears For Fears,Everybody Wants To Rule The World,tears for fears,everybody wants to rule the world
Ed Sheeran - Bad Habits,550,146.0,3,(x26),6008275,1350227445,Ed Sheeran,Bad Habits,ed sheeran,bad habits
Fleetwood Mac - Dreams - 2004 Remaster,1026,,17,,2441194,1346889742,Fleetwood Mac,Dreams - 2004 Remaster,fleetwood mac,dreams - 2004 remaster
Bad Bunny - DÁKITI,713,118.0,1,(x36),10086143,1342557466,Bad Bunny,DÁKITI,bad bunny,dákiti
Sam Smith - Unholy,397,156.0,1,(x49),8853020,1326989045,Sam Smith,Unholy,sam smith,unholy
Doja Cat - Kiss Me More,551,139.0,2,(x1),5731381,1312730513,Doja Cat,Kiss Me More,doja cat,kiss me more
Marshmello - Happier,823,144.0,2,(x9),4279508,1302211159,Marshmello,Happier,marshmello,happier
Don Omar - Danza Kuduro,917,,45,,2158837,1293939419,Don Omar,Danza Kuduro,don omar,danza kuduro
Rema - Calm Down,572,22.0,8,,3895947,1293012963,Rema,Calm Down,rema,calm down
Camila Cabello - Havana,793,173.0,1,(x9),4949898,1288873382,Camila Cabello,Havana,camila cabello,havana
Feid - LUNA,546,28.0,7,,4185532,1285138184,Feid,LUNA,feid,luna
Justin Bieber - Sorry,863,149.0,1,(x55),5324014,1277983356,Justin Bieber,Sorry,justin bieber,sorry
Conan Gray - Heather,1068,,11,,3771797,1276398039,Conan Gray,Heather,conan gray,heather
Ed Sheeran - Thinking out Loud,1682,156.0,1,(x14),1950373,1260984274,Ed Sheeran,Thinking out Loud,ed sheeran,thinking out loud
Olivia Dean - Man I Need,329,195.0,2,(x5),6061089,1255863418,Olivia Dean,Man I Need,olivia dean,man i need
Sabrina Carpenter - Taste,425,90.0,2,(x3),9050976,1252658823,Sabrina Carpenter,Taste,sabrina carpenter,taste
Roddy Ricch - The Box,567,128.0,1,(x6),7427860,1246311986,Roddy Ricch,The Box,roddy ricch,the box
Metro Boomin - Creepin',478,115.0,1,(x3),5702794,1241697519,Metro Boomin,Creepin',metro boomin,creepin'
Ed Sheeran - Shivers,625,154.0,4,,5450839,1236107580,Ed Sheeran,Shivers,ed sheeran,shivers
Post Malone - I Had Some Help (Feat. Morgan Wallen),484,48.0,1,(x1),13949573,1234429823,Post Malone,I Had Some Help (Feat. Morgan Wallen),post malone,i had some help (feat. morgan wallen)
Calvin Harris - One Kiss,790,99.0,1,(x3),4533018,1232544865,Calvin Harris,One Kiss,calvin harris,one kiss
d4vd - Romantic Homicide,775,,13,,2752552,1226644326,d4vd,Romantic Homicide,d4vd,romantic homicide
Ed Sheeran - I Don't Care,627,116.0,1,(x42),10977389,1226341816,Ed Sheeran,I Don't Care,ed sheeran,i don't care
Ravyn Lenae - Love Me Not,483,31.0,8,,3572942,1220708937,Ravyn Lenae,Love Me Not,ravyn lenae,love me not
Bobby Helms - Jingle Bell Rock,422,124.0,4,,18917096,1220676809,Bobby Helms,Jingle Bell Rock,bobby helms,jingle bell rock
Post Malone - Better Now,796,76.0,1,(x37),6090230,1218871302,Post Malone,Better Now,post malone,better now
DaBaby - ROCKSTAR,505,144.0,1,(x57),6273718,1218421504,DaBaby,ROCKSTAR,dababy,rockstar
The Weeknd - The Hills,1304,80.0,3,(x8),2210786,1215765586,The Weeknd,The Hills,the weeknd,the hills
Zara Larsson - Lush Life,876,32.0,4,,4514636,1210929295,Zara Larsson,Lush Life,zara larsson,lush life
Ariana Grande - Santa Tell Me,492,114.0,3,(x4),16090412,1209326883,Ariana Grande,Santa Tell Me,ariana grande,santa tell me
Justin Bieber - Peaches,533,100.0,1,(x18),8020169,1208278824,Justin Bieber,Peaches,justin bieber,peaches
Justin Bieber - Love Yourself,925,154.0,1,(x25),4052773,1205868827,Justin Bieber,Love Yourself,justin bieber,love yourself
Imagine Dragons - Thunder,1011,20.0,7,,3218477,1201439377,Imagine Dragons,Thunder,imagine dragons,thunder
Travis Scott - FE!N,581,5.0,3,(x1),8998039,1199063667,Travis Scott,FE!N,travis scott,fe!n
Bad Bunny - Ojitos Lindos,500,111.0,2,(x5),6793502,1197047702,Bad Bunny,Ojitos Lindos,bad bunny,ojitos lindos
Eminem - Mockingbird,743,,20,,2672455,1193069380,Eminem,Mockingbird,eminem,mockingbird
Bad Bunny - EoO,552,22.0,4,,8115900,1188151544,Bad Bunny,EoO,bad bunny,eoo
David Kushner - Daylight,497,77.0,4,,5066631,1185653142,David Kushner,Daylight,david kushner,daylight
Lewis Capaldi - Before You Go,862,,17,,2375637,1180738967,Lewis Capaldi,Before You Go,lewis capaldi,before you go
Linkin Park - Numb,816,,12,,3129200,1177118523,Linkin Park,Numb,linkin park,numb
Arctic Monkeys - Do I Wanna Know?,1393,,69,,1442073,1170325314,Arctic Monkeys,Do I Wanna Know?,arctic monkeys,do i wanna know?
Halsey - Without Me,840,124.0,3,(x10),4103411,1168628874,Halsey,Without Me,halsey,without me
Artemas - i like the way you kiss me,342,61.0,1,(x14),9844169,1164543446,Artemas,i like the way you kiss me,artemas,i like the way you kiss me
Noah Kahan - Stick Season,495,55.0,6,,4589005,1162787593,Noah Kahan,Stick Season,noah kahan,stick season
Kendrick Lamar - HUMBLE.,791,83.0,1,(x7),6561530,1161514687,Kendrick Lamar,HUMBLE.,kendrick lamar,humble.
W Sound - La Plena - W Sound 05,491,94.0,4,,4187761,1146552468,W Sound,La Plena - W Sound 05,w sound,la plena - w sound 05
Dua Lipa - New Rules,711,161.0,2,(x24),4497944,1140597500,Dua Lipa,New Rules,dua lipa,new rules
John Legend - All of Me,1901,,16,,1518421,1138444529,John Legend,All of Me,john legend,all of me
Rihanna - We Found Love,933,,18,,2720075,1129758455,Rihanna,We Found Love,rihanna,we found love
Travis Scott - HIGHEST IN THE ROOM,764,48.0,1,(x7),8000249,1122906043,Travis Scott,HIGHEST IN THE ROOM,travis scott,highest in the room
Michael Bublé - It's Beginning to Look a Lot like Christmas,461,75.0,3,(x1),14790986,1119419950,Michael Bublé,It's Beginning to Look a Lot like Christmas,michael bublé,it's beginning to look a lot like christmas
Tommy Richman - MILLION DOLLAR BABY,325,77.0,1,(x11),12657599,1116956004,Tommy Richman,MILLION DOLLAR BABY,tommy richman,million dollar baby
d4vd - Here With Me,655,,13,,3232096,1115241736,d4vd,Here With Me,d4vd,here with me
Doja Cat - Paint The Town Red,358,112.0,1,(x25),9146029,1113982099,Doja Cat,Paint The Town Red,doja cat,paint the town red
Doja Cat - Woman,534,49.0,5,,4541274,1107964408,Doja Cat,Woman,doja cat,woman
Hotel Ugly - Shut up My Moms Calling,806,,63,,1893587,1098204919,Hotel Ugly,Shut up My Moms Calling,hotel ugly,shut up my moms calling
Måneskin - Beggin',466,104.0,1,(x25),8005228,1097657144,Måneskin,Beggin',måneskin,beggin'
Olivia Rodrigo - traitor,637,25.0,7,,5255353,1096219217,Olivia Rodrigo,traitor,olivia rodrigo,traitor
Sabrina Carpenter - Nonsense,723,,12,,3480172,1092961503,Sabrina Carpenter,Nonsense,sabrina carpenter,nonsense
Farruko - Pepas,486,104.0,3,(x4),4991996,1092223873,Farruko,Pepas,farruko,pepas
Bad Bunny - Yonaguni,574,58.0,3,(x17),7191161,1091187590,Bad Bunny,Yonaguni,bad bunny,yonaguni
"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",502,53.0,2,(x6),5680885,1089381960,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",billie eilish,"what was i made for? [from the motion picture ""barbie""]"
"Ariana Grande - thank u, next",606,116.0,1,(x53),9606415,1086433407,Ariana Grande,"thank u, next",ariana grande,"thank u, next"
Maroon 5 - Girls Like You,710,101.0,2,(x13),4382819,1081119035,Maroon 5,Girls Like You,maroon 5,girls like you
Olivia Rodrigo - deja vu,629,61.0,3,(x7),6965911,1075065707,Olivia Rodrigo,deja vu,olivia rodrigo,deja vu
Eslabon Armado - Ella Baila Sola,320,117.0,1,(x51),9047794,1074105220,Eslabon Armado,Ella Baila Sola,eslabon armado,ella baila sola
Luis Fonsi - Despacito - Remix,447,140.0,1,(x101),8505463,1072194101,Luis Fonsi,Despacito - Remix,luis fonsi,despacito - remix
KAROL G - QLONA,442,54.0,4,,4538107,1069000056,KAROL G,QLONA,karol g,qlona
Coldplay - Sparks,669,,26,,2592704,1062515010,Coldplay,Sparks,coldplay,sparks
Lil Uzi Vert - XO TOUR Llif3,839,7.0,9,,2830043,1058173866,Lil Uzi Vert,XO TOUR Llif3,lil uzi vert,xo tour llif3
Imagine Dragons - Bones,688,,27,,2481967,1054920078,Imagine Dragons,Bones,imagine dragons,bones
Frank Ocean - Pink + White,736,,52,,2097465,1054396305,Frank Ocean,Pink + White,frank ocean,pink + white
Imagine Dragons - Demons,1335,,37,,1749568,1052187947,Imagine Dragons,Demons,imagine dragons,demons
Billie Eilish - when the party's over,844,7.0,7,,3605221,1045538949,Billie Eilish,when the party's over,billie eilish,when the party's over
Lola Young - Messy,444,18.0,8,,5133611,1042480734,Lola Young,Messy,lola young,messy
Sabrina Carpenter - Manchild,404,51.0,1,(x5),8052003,1035950942,Sabrina Carpenter,Manchild,sabrina carpenter,manchild
Taylor Swift - Blank Space,799,,14,,3018571,1032061781,Taylor Swift,Blank Space,taylor swift,blank space
XXXTENTACION - Moonlight,940,10.0,2,(x3),6928295,1031086017,XXXTENTACION,Moonlight,xxxtentacion,moonlight
Harry Styles - Adore You,771,6.0,3,(x1),4506154,1019970391,Harry Styles,Adore You,harry styles,adore you
Bad Bunny - Efecto,416,102.0,6,,5752670,1016162473,Bad Bunny,Efecto,bad bunny,efecto
Olivia Rodrigo - vampire,373,93.0,1,(x7),9794245,1013372243,Olivia Rodrigo,vampire,olivia rodrigo,vampire
LAUV - I Like Me Better,1112,,24,,1906874,1000581852,LAUV,I Like Me Better,lauv,i like me better
The Marías - No One Noticed,579,,32,,2473976,1000333695,The Marías,No One Noticed,the marías,no one noticed
Steve Lacy - Dark Red,855,,58,,1603560,998370487,Steve Lacy,Dark Red,steve lacy,dark red
Powfu - death bed,552,120.0,4,,4310576,996603124,Powfu,death bed,powfu,death bed
Arizona Zervas - ROXANNE,495,113.0,2,(x30),5525015,995796741,Arizona Zervas,ROXANNE,arizona zervas,roxanne
Post Malone - Congratulations,914,,20,,2315803,994460066,Post Malone,Congratulations,post malone,congratulations
Andy Williams - It's the Most Wonderful Time of the Year,414,46.0,5,,13789130,991209765,Andy Williams,It's the Most Wonderful Time of the Year,andy williams,it's the most wonderful time of the year
Chappell Roan - Pink Pony Club,553,,18,,4125297,990858610,Chappell Roan,Pink Pony Club,chappell roan,pink pony club
Nirvana - Smells Like Teen Spirit - Remastered,842,,79,,1709395,984830785,Nirvana,Smells Like Teen Spirit - Remastered,nirvana,smells like teen spirit - remastered
Morgan Wallen - Last Night,548,1.0,10,,4011329,983053833,Morgan Wallen,Last Night,morgan wallen,last night
Trevor Daniel - Falling,527,89.0,5,,4412756,982655543,Trevor Daniel,Falling,trevor daniel,falling
KAROL G - Tusa,501,92.0,3,(x16),6437662,981019287,KAROL G,Tusa,karol g,tusa
Twenty One Pilots - Stressed Out,962,83.0,5,,2698436,980630380,Twenty One Pilots,Stressed Out,twenty one pilots,stressed out
Lil Nas X - Old Town Road - Remix,471,131.0,2,(x27),5546821,972399663,Lil Nas X,Old Town Road - Remix,lil nas x,old town road - remix
Major Lazer - Lean On,860,215.0,1,(x73),3022720,968611554,Major Lazer,Lean On,major lazer,lean on
Jimin - Like Crazy,480,2.0,1,(x1),6013972,967510834,Jimin,Like Crazy,jimin,like crazy
benny blanco - Eastside,667,75.0,3,(x8),3488754,966793467,benny blanco,Eastside,benny blanco,eastside
5 Seconds of Summer - Youngblood,821,6.0,6,,3369480,959545880,5 Seconds of Summer,Youngblood,5 seconds of summer,youngblood
Danny Ocean - Me Rehúso,732,,18,,2075957,957612471,Danny Ocean,Me Rehúso,danny ocean,me rehúso
Michael Jackson - Billie Jean,478,79.0,1,(x19),6537195,957210134,Michael Jackson,Billie Jean,michael jackson,billie jean
Charlie Puth - Attention,618,95.0,5,,3327835,955795875,Charlie Puth,Attention,charlie puth,attention
Post Malone - Wow.,577,98.0,1,(x1),4715948,942911527,Post Malone,Wow.,post malone,wow.
JVKE - golden hour,503,,11,,3100355,940331723,JVKE,golden hour,jvke,golden hour
