Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Title,Artist_clean,Title_clean
PARTYNEXTDOOR - Come and See Me,244,,89,,472811,90175552,PARTYNEXTDOOR,Come and See Me,partynextdoor,come and see me
Billie Eilish - THE GREATEST,39,,16,,6230104,90168687,Billie Eilish,THE GREATEST,billie eilish,the greatest
Kevin Gates - 2 Phones,201,,57,,726709,90148113,Kevin Gates,2 Phones,kevin gates,2 phones
Gorillaz - Tormenta,42,,12,,3590571,90041612,Gorillaz,Tormenta,gorillaz,tormenta
Journey - Don't Stop Believin',144,,141,,1233869,89954265,Journey,Don't Stop Believin',journey,don't stop believin'
ElyOtto - SugarCrash!,83,,50,,1424992,89932128,ElyOtto,SugarCrash!,elyotto,sugarcrash!
Macklemore - Good Old Days,107,,51,,1173889,89879101,Macklemore,Good Old Days,macklemore,good old days
Ozuna - Dile Que Tu Me Quieres,176,,86,,741945,89788277,Ozuna,Dile Que Tu Me Quieres,ozuna,dile que tu me quieres
DaBaby - TOES,90,,60,,1345206,89677041,DaBaby,TOES,dababy,toes
Ozuna - El Farsante,143,,95,,762974,89636833,Ozuna,El Farsante,ozuna,el farsante
BTS - Run BTS,63,3.0,6,,5477304,89609530,BTS,Run BTS,bts,run bts
Surf Curse - Disco,62,,76,,1796842,89605891,Surf Curse,Disco,surf curse,disco
"Metro Boomin - Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",49,,20,,2623625,89564837,Metro Boomin,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",metro boomin,"am i dreaming (metro boomin & a$ap rocky, roisee)"
Lady Gaga - The Dead Dance,53,,14,,3180394,89564667,Lady Gaga,The Dead Dance,lady gaga,the dead dance
Gym Class Heroes - Stereo Hearts,119,,131,,856372,89277239,Gym Class Heroes,Stereo Hearts,gym class heroes,stereo hearts
Chris Rea - Driving Home for Christmas,93,1.0,8,,4918077,89215701,Chris Rea,Driving Home for Christmas,chris rea,driving home for christmas
Diego & Victor Hugo - Tubarões - Ao Vivo,71,,116,,1473914,89214052,Diego & Victor Hugo,Tubarões - Ao Vivo,diego & victor hugo,tubarões - ao vivo
Sebastian Yatra - Alguien Robo,167,,129,,621949,89194899,Sebastian Yatra,Alguien Robo,sebastian yatra,alguien robo
Kanye West - Runaway,70,,134,,1466832,89174177,Kanye West,Runaway,kanye west,runaway
J Balvin - Machika,96,,59,,1226525,89129351,J Balvin,Machika,j balvin,machika
Pitbull - Fireball,235,,14,,777795,88917936,Pitbull,Fireball,pitbull,fireball
Robin Schulz - In Your Eyes,107,,81,,1036042,88910461,Robin Schulz,In Your Eyes,robin schulz,in your eyes
KHEA - Ayer Me Llamó Mi Ex,86,,48,,1607059,88830195,KHEA,Ayer Me Llamó Mi Ex,khea,ayer me llamó mi ex
Dua Lipa - Illusion,47,,11,,3966008,88809760,Dua Lipa,Illusion,dua lipa,illusion
Halsey - New Americana,217,,56,,526432,88794015,Halsey,New Americana,halsey,new americana
Tyga - SWISH,98,,51,,1345344,88722928,Tyga,SWISH,tyga,swish
Kendrick Lamar - peekaboo,45,,15,,4795215,88684063,Kendrick Lamar,peekaboo,kendrick lamar,peekaboo
Ozuna - El Farsante - Remix,132,,91,,873725,88599256,Ozuna,El Farsante - Remix,ozuna,el farsante - remix
Harry Styles - Little Freak,48,6.0,6,,7153121,88585195,Harry Styles,Little Freak,harry styles,little freak
Julia Michaels - Heaven,82,,32,,1669974,88455318,Julia Michaels,Heaven,julia michaels,heaven
Lil Skies - Nowadays,118,,80,,944539,88338190,Lil Skies,Nowadays,lil skies,nowadays
Yo Gotti - Rake It Up,131,,74,,938966,88272072,Yo Gotti,Rake It Up,yo gotti,rake it up
Ozuna - Ibiza,123,,93,,946698,88163574,Ozuna,Ibiza,ozuna,ibiza
Nirvana - Something In The Way - Remastered,68,1.0,10,,2315178,88095740,Nirvana,Something In The Way - Remastered,nirvana,something in the way - remastered
Demi Lovato - Body Say,130,,55,,893814,87927817,Demi Lovato,Body Say,demi lovato,body say
Mahalini - Sial,69,,62,,1622766,87893760,Mahalini,Sial,mahalini,sial
Mac DeMarco - Heart To Heart,78,,89,,1378163,87868271,Mac DeMarco,Heart To Heart,mac demarco,heart to heart
Rich The Kid - Splashin,108,,85,,1063139,87723900,Rich The Kid,Splashin,rich the kid,splashin
Capital Cities - Safe And Sound,267,,77,,1419712,87617763,Capital Cities,Safe And Sound,capital cities,safe and sound
Peso Pluma - gervonta,53,,32,,2992340,87493894,Peso Pluma,gervonta,peso pluma,gervonta
Anuel AA - Hipócrita,128,,111,,833064,87420006,Anuel AA,Hipócrita,anuel aa,hipócrita
Drake - What Did I Miss?,42,,12,,6683999,87389119,Drake,What Did I Miss?,drake,what did i miss?
Lil Pump - Esskeetit,107,,40,,1624504,87327963,Lil Pump,Esskeetit,lil pump,esskeetit
Oscar Maydon - Elvira,66,,110,,1594179,87102339,Oscar Maydon,Elvira,oscar maydon,elvira
Bad Bunny - KETU TeCRÉ,38,,19,,3640688,87008796,Bad Bunny,KETU TeCRÉ,bad bunny,ketu tecré
Khalid - My Bad,66,,16,,2676926,86880889,Khalid,My Bad,khalid,my bad
Eslabon Armado - Jugaste y Sufrí,94,,87,,1101494,86823058,Eslabon Armado,Jugaste y Sufrí,eslabon armado,jugaste y sufrí
Lil Uzi Vert - You Was Right,222,,112,,613275,86767758,Lil Uzi Vert,You Was Right,lil uzi vert,you was right
Don Toliver - Lose My Mind,60,,54,,1921104,86711294,Don Toliver,Lose My Mind,don toliver,lose my mind
Natanael Cano - Mi Bello Angel,71,,19,,3045037,86693204,Natanael Cano,Mi Bello Angel,natanael cano,mi bello angel
Kanye West - Follow God,42,8.0,3,(x3),5650078,86650523,Kanye West,Follow God,kanye west,follow god
The Jackson 5 - I Want You Back,66,,90,,1612630,86616959,The Jackson 5,I Want You Back,the jackson 5,i want you back
Feid - Niña Bonita,65,,59,,1851839,86508436,Feid,Niña Bonita,feid,niña bonita
Lukas Graham - Mama Said,208,,67,,766320,86456501,Lukas Graham,Mama Said,lukas graham,mama said
Jimin - Like Crazy (English Version),47,1.0,2,(x1),6634838,86402224,Jimin,Like Crazy (English Version),jimin,like crazy (english version)
Drake - Massive,57,,15,,4222964,86401904,Drake,Massive,drake,massive
Kygo - Here for You,196,,33,,923705,86194243,Kygo,Here for You,kygo,here for you
Noah Kahan - The Great Divide,46,1.0,3,(x1),4995035,86192750,Noah Kahan,The Great Divide,noah kahan,the great divide
Kenshi Yonezu - IRIS OUT,61,,68,,1675350,86143785,Kenshi Yonezu,IRIS OUT,kenshi yonezu,iris out
Noah Cyrus - Make Me (Cry),115,,52,,962551,86092146,Noah Cyrus,Make Me (Cry),noah cyrus,make me (cry)
Alan Walker - Sing Me to Sleep,144,,57,,822429,86059528,Alan Walker,Sing Me to Sleep,alan walker,sing me to sleep
Galantis - Love on Me,147,,60,,835485,85976027,Galantis,Love on Me,galantis,love on me
Bad Bunny - TURiSTA,39,,24,,3403257,85840678,Bad Bunny,TURiSTA,bad bunny,turista
Justin Bieber - Forever,56,,12,,3962001,85792964,Justin Bieber,Forever,justin bieber,forever
Nicki Minaj - FTCU,54,,56,,2053200,85705356,Nicki Minaj,FTCU,nicki minaj,ftcu
Ed Sheeran - New Man,75,,11,,3261354,85700883,Ed Sheeran,New Man,ed sheeran,new man
Manuel Turizo - Esperándote,119,,98,,862520,85602918,Manuel Turizo,Esperándote,manuel turizo,esperándote
Taylor Swift - Sweet Nothing,36,,12,,9211064,85560617,Taylor Swift,Sweet Nothing,taylor swift,sweet nothing
Grupo Marca Registrada - El Rescate,91,,108,,1103099,85451698,Grupo Marca Registrada,El Rescate,grupo marca registrada,el rescate
Adam Lambert - Ghost Town,179,,37,,839366,85371187,Adam Lambert,Ghost Town,adam lambert,ghost town
Ozuna - Quiero Repetir,117,,79,,970850,85338021,Ozuna,Quiero Repetir,ozuna,quiero repetir
Maria Becerra - CORAZÓN VACÍO,63,,76,,1697148,85226043,Maria Becerra,CORAZÓN VACÍO,maria becerra,corazón vacío
Imany - Don't Be So Shy - Filatov & Karas Remix,159,,67,,774813,85164774,Imany,Don't Be So Shy - Filatov & Karas Remix,imany,don't be so shy - filatov & karas remix
Peso Pluma - LA PEOPLE II,46,,31,,2457015,85109682,Peso Pluma,LA PEOPLE II,peso pluma,la people ii
Post Malone - Rich & Sad,64,4.0,6,,4869234,84921986,Post Malone,Rich & Sad,post malone,rich & sad
Ryan Castro - Mujeriego,90,,88,,1161721,84909848,Ryan Castro,Mujeriego,ryan castro,mujeriego
MC Kevin o Chris - Faz um Vuk Vuk (Teto Espelhado),58,,47,,1980704,84890415,MC Kevin o Chris,Faz um Vuk Vuk (Teto Espelhado),mc kevin o chris,faz um vuk vuk (teto espelhado)
C. Tangana - Tú Me Dejaste De Querer,86,,31,,1895996,84806716,C. Tangana,Tú Me Dejaste De Querer,c. tangana,tú me dejaste de querer
Quality Control - Baby (Lil Baby feat. DaBaby),98,,63,,1099031,84639925,Quality Control,Baby (Lil Baby feat. DaBaby),quality control,baby (lil baby feat. dababy)
Bad Bunny - El Apagón,66,,23,,4647649,84498372,Bad Bunny,El Apagón,bad bunny,el apagón
The Chainsmokers - The One,78,,16,,2476685,84476223,The Chainsmokers,The One,the chainsmokers,the one
IVE - After LIKE,65,,23,,2134229,84466710,IVE,After LIKE,ive,after like
Bad Bunny - LA MuDANZA,41,,29,,3099096,84319592,Bad Bunny,LA MuDANZA,bad bunny,la mudanza
Ifan Seventeen - Jangan Paksa Rindu - Beda,61,,78,,1622773,84270445,Ifan Seventeen,Jangan Paksa Rindu - Beda,ifan seventeen,jangan paksa rindu - beda
Kaliii - Area Codes,58,,78,,1698493,84143622,Kaliii,Area Codes,kaliii,area codes
James Arthur - Rewrite The Stars,92,,65,,1112604,84002608,James Arthur,Rewrite The Stars,james arthur,rewrite the stars
Juice WRLD - Wasted,105,,66,,1099827,83995836,Juice WRLD,Wasted,juice wrld,wasted
Gracie Abrams - Close To You,54,,41,,2618329,83904794,Gracie Abrams,Close To You,gracie abrams,close to you
Zedd - I Want You To Know,152,,19,,903612,83530243,Zedd,I Want You To Know,zedd,i want you to know
Morgan Wallen - Lies Lies Lies,48,,36,,2635282,83446910,Morgan Wallen,Lies Lies Lies,morgan wallen,lies lies lies
Kygo - Like It Is,87,,43,,1720649,83444561,Kygo,Like It Is,kygo,like it is
21 Savage - No Heart,148,,88,,715275,83388318,21 Savage,No Heart,21 savage,no heart
KAROL G - LATINA FOREVA,57,,34,,2350089,83332302,KAROL G,LATINA FOREVA,karol g,latina foreva
AUR - Tu hai kahan,60,,51,,1868198,83301904,AUR,Tu hai kahan,aur,tu hai kahan
Lady Gaga - Million Reasons,171,,51,,966144,83218964,Lady Gaga,Million Reasons,lady gaga,million reasons
Selena Gomez - The Heart Wants What It Wants,164,,13,,803179,83150548,Selena Gomez,The Heart Wants What It Wants,selena gomez,the heart wants what it wants
S1mba - Rover,93,,69,,1154150,83088779,S1mba,Rover,s1mba,rover
ZAYN - A Whole New World (End Title),86,,40,,1594550,83040132,ZAYN,A Whole New World (End Title),zayn,a whole new world (end title)
Jess Glynne - I'll Be There,103,,54,,1186643,82990656,Jess Glynne,I'll Be There,jess glynne,i'll be there
Ariana Grande - needy,56,5.0,3,(x1),5821541,82989855,Ariana Grande,needy,ariana grande,needy
Cardi B - Be Careful,80,,25,,1941609,82967440,Cardi B,Be Careful,cardi b,be careful
Ariana Grande - NASA,56,6.0,5,,5606877,82943355,Ariana Grande,NASA,ariana grande,nasa
YG - BIG BANK,105,,70,,1167788,82938894,YG,BIG BANK,yg,big bank
Olivia Rodrigo - obsessed,42,,13,,4557468,82895156,Olivia Rodrigo,obsessed,olivia rodrigo,obsessed
Kendrick Lamar - Die Hard,50,4.0,4,,7616311,82837494,Kendrick Lamar,Die Hard,kendrick lamar,die hard
NAYEON - POP!,79,,62,,1400159,82819945,NAYEON,POP!,nayeon,pop!
J. Cole - Deja Vu,92,5.0,5,,3024442,82794123,J. Cole,Deja Vu,j. cole,deja vu
Harry Styles - Satellite,52,,11,,5833176,82791889,Harry Styles,Satellite,harry styles,satellite
Mother Mother - Hayloft,101,,112,,902208,82761226,Mother Mother,Hayloft,mother mother,hayloft
Ed Sheeran - Overpass Graffiti,61,1.0,10,,3780187,82634373,Ed Sheeran,Overpass Graffiti,ed sheeran,overpass graffiti
BTS - No. 29,39,,11,,6502953,82629908,BTS,No. 29,bts,no. 29
Rauw Alejandro - El Efecto,109,,91,,912285,82322791,Rauw Alejandro,El Efecto,rauw alejandro,el efecto
Dave - Starlight,69,,42,,1569494,82300930,Dave,Starlight,dave,starlight
