danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
-0.7271523627105467,0.3975107144075617,0.16535315006535972,-0.25667768370504546,-0.8641826866108601,-0.18863556194771933,-0.6668091946542305,-0.7087815465187438,1.7205704638795722
-0.6865309713788504,0.4027115893536301,0.3797517099886637,-0.3050384656004647,0.42232373077349217,-0.17826829740370312,0.9776212819343515,0.7665315525284138,1.8219933672689703
1.3783897546490427,-0.008157531385776507,1.154967979510006,-0.01605330549369108,1.325228040854129,-0.1897169494805196,-0.6415445601291462,1.9764682099786741,-0.880987688428028
-0.06366963762617453,0.797978085254832,1.289146944025765,-0.565714875329432,-0.6826951424423505,0.01091784434091768,-0.5828414387326264,-0.420915575972957,0.09253348612264878
-0.8151653772625553,-1.2927736430646815,0.2570840775493236,-0.5857669068470449,1.967461232124875,-0.1897169494805196,-0.5531183392913508,-0.20501609806361693,-0.39852673876646216
-0.1516826521781832,-1.0691360203837386,0.029375539912660207,-0.6883861269665931,-0.2539100412115876,-0.1897169494805196,-0.5456875644310318,-1.4554339076218783,-0.9131309470406681
-1.0656639571413489,-1.2303631437118603,-1.0616829034554285,-0.6600773765887867,-0.35591178335458845,0.05965963041053237,-0.6095922282297747,-0.0565852070009457,-1.8674424503169085
1.046648392106857,0.657554461710984,0.7265305887907864,0.5477626395309533,-0.6347165452121241,-0.1897169494805196,-0.7314569359390053,0.7845231756875255,0.12360183533184552
-1.3026220732429106,0.038650343128839505,-0.2997766116474457,-0.6305890949452384,-0.8606692932703789,-0.18834537829111883,0.40545161768979304,-0.929178930217862,1.8026449980069932
0.9450949137776162,-0.6686686495364685,-0.182145186991539,0.15144013424166353,0.7925522763295691,-0.1896410029766437,-0.648975334989465,0.17730589406750633,-1.4048153128737138
-1.1942983630250539,-0.6062581501836471,-0.769223122888908,-0.4902248743219483,1.755902063235688,-0.18952991704560132,-0.6318845528107315,-1.6218564218436615,0.048011432121969864
-0.9302593193690282,0.4027115893536301,-0.10804098674959153,-0.5149950309025288,0.7585516956152355,-0.1897169494805196,-0.21130269571667937,0.08284987248216992,-0.6841405696103835
-0.5240454060520652,-1.4800051411231454,-1.122477125984016,-0.513815499636787,2.791030853872067,2.9728314955014583,3.4149154361189646,-1.7522956897472213,-1.1919139019981917
-0.26677659428465605,-0.6686686495364685,-0.27675394749460763,-0.2224712769985293,-0.45035784089440406,-0.1897169494805196,-0.3376258683421013,0.08284987248216992,0.41140015947953806
-0.496964478497601,0.8447859597694475,0.7858858948098218,-0.4135553420487226,-0.40880157557688523,-0.1897169494805196,1.1559598785820064,0.2942514446017323,-0.9013416180996782
-1.7833085373346498,-0.5022406512622782,-0.3612902924308095,-0.2661139338309809,1.755902063235688,-0.1897169494805196,-0.6630938072240711,0.010883379845723152,-1.2601186373715063
