Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Title,Artist_clean,Title_clean,Unnamed: 0.1,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,artists_clean,track_name_clean
The Weeknd - Blinding Lights,2416,446.0,1,(x82),8453567,5409337902,The Weeknd,Blinding Lights,the weeknd,blinding lights,81000.0,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,After Hours,Blinding Lights,91.0,200040.0,False,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4.0,pop,the weeknd,blinding lights
Harry Styles - As It Was,1516,426.0,1,(x81),16103849,4402951367,Harry Styles,As It Was,harry styles,as it was,81052.0,4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,As It Was,95.0,167303.0,False,0.52,0.731,6.0,-5.338,0.0,0.0557,0.342,0.00101,0.311,0.662,173.93,4.0,pop,harry styles,as it was
Ed Sheeran - Shape of You,2930,237.0,1,(x98),9878194,4402714144,Ed Sheeran,Shape of You,ed sheeran,shape of you,81031.0,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,÷ (Deluxe),Shape of You,86.0,233712.0,False,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,4.0,pop,ed sheeran,shape of you
The Neighbourhood - Sweater Weather,2235,,12,,3342205,4109218384,The Neighbourhood,Sweater Weather,the neighbourhood,sweater weather,2003.0,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,93.0,240400.0,False,0.612,0.807,10.0,-2.81,1.0,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.0,alt-rock,the neighbourhood,sweater weather
Lewis Capaldi - Someone You Loved,2388,107.0,4,,3974554,3902396693,Lewis Capaldi,Someone You Loved,lewis capaldi,someone you loved,81422.0,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved,87.0,182160.0,False,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,4.0,pop,lewis capaldi,someone you loved
Ed Sheeran - Perfect,3171,102.0,3,(x1),3690839,3678412757,Ed Sheeran,Perfect,ed sheeran,perfect,81023.0,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,÷ (Deluxe),Perfect,87.0,263400.0,False,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,3.0,pop,ed sheeran,perfect
Arctic Monkeys - I Wanna Be Yours,1469,,11,,3186952,3347550094,Arctic Monkeys,I Wanna Be Yours,arctic monkeys,i wanna be yours,38000.0,5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,AM,I Wanna Be Yours,92.0,183956.0,False,0.464,0.417,0.0,-9.345,0.0,0.0256,0.136,0.022,0.0974,0.479,67.528,4.0,garage,arctic monkeys,i wanna be yours
Imagine Dragons - Believer,2952,,15,,2572100,3314004592,Imagine Dragons,Believer,imagine dragons,believer,91011.0,0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Evolve,Believer,88.0,204346.0,False,0.776,0.78,10.0,-4.374,0.0,0.128,0.0622,0.0,0.081,0.666,124.949,4.0,rock,imagine dragons,believer
Coldplay - Yellow,2024,,15,,3078369,3118264517,Coldplay,Yellow,coldplay,yellow,81779.0,2ubrTNQou3onHm2WNHcCyT,Coldplay,Hits Hits Hits,Yellow,3.0,266773.0,False,0.429,0.661,11.0,-7.227,1.0,0.0281,0.00239,0.000121,0.234,0.285,173.372,4.0,pop,coldplay,yellow
Glass Animals - Heat Waves,1426,258.0,1,(x65),5003951,3099680325,Glass Animals,Heat Waves,glass animals,heat waves,56004.0,6CDzDgIUqeDY5g8ujExx2f,Glass Animals,Heat Waves,Heat Waves,85.0,238805.0,False,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,indie-pop,glass animals,heat waves
Tom Odell - Another Love,1831,,11,,3052832,3082016539,Tom Odell,Another Love,tom odell,another love,15013.0,3JvKfv6T31zO0ini8iNItO,Tom Odell,Long Way Down (Deluxe),Another Love,93.0,244360.0,True,0.445,0.537,4.0,-8.532,0.0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4.0,chill,tom odell,another love
Vance Joy - Riptide,2701,,16,,2526786,2885886359,Vance Joy,Riptide,vance joy,riptide,34027.0,7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Dream Your Life Away,Riptide,82.0,204280.0,False,0.484,0.731,1.0,-6.694,1.0,0.0379,0.431,0.0,0.151,0.51,101.654,4.0,folk,vance joy,riptide
Lord Huron - The Night We Met,1442,,15,,3221586,2640066094,Lord Huron,The Night We Met,lord huron,the night we met,34005.0,3hRV0jL3vUpRrcy398teAU,Lord Huron,Strange Trails,The Night We Met,83.0,208211.0,False,0.544,0.369,2.0,-9.514,1.0,0.038,0.969,0.279,0.639,0.102,87.01,3.0,folk,lord huron,the night we met
The Weeknd - Die For You,1572,2.0,9,,3554197,2631736342,The Weeknd,Die For You,the weeknd,die for you,81500.0,2Ch7LmS7r2Gy2kc64wv3Bz,The Weeknd,Starboy,Die For You,88.0,260253.0,False,0.582,0.525,1.0,-7.163,0.0,0.0627,0.111,0.0,0.134,0.51,133.249,4.0,pop,the weeknd,die for you
Harry Styles - Watermelon Sugar,1564,127.0,4,,4321515,2598700368,Harry Styles,Watermelon Sugar,harry styles,watermelon sugar,81158.0,6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Fine Line,Watermelon Sugar,89.0,174000.0,False,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,4.0,pop,harry styles,watermelon sugar
James Arthur - Say You Won't Let Go,2483,97.0,6,,2817950,2591662993,James Arthur,Say You Won't Let Go,james arthur,say you won't let go,81960.0,5uCax9HTNlzGybIStD3vDh,James Arthur,Back from the Edge,Say You Won't Let Go,85.0,211466.0,False,0.358,0.557,10.0,-7.398,1.0,0.059,0.695,0.0,0.0902,0.494,85.043,4.0,pop,james arthur,say you won't let go
The Police - Every Breath You Take,1734,15.0,6,,3784859,2570650004,The Police,Every Breath You Take,the police,every breath you take,91261.0,1JSTJqkT5qHq8MDJnJbRE1,The Police,Synchronicity (Remastered 2003),Every Breath You Take,86.0,253920.0,False,0.82,0.452,1.0,-9.796,1.0,0.0348,0.543,0.00294,0.0714,0.74,117.401,4.0,rock,the police,every breath you take
OneRepublic - Counting Stars,2610,,31,,1717699,2534535975,OneRepublic,Counting Stars,onerepublic,counting stars,79002.0,2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Native,Counting Stars,83.0,257266.0,False,0.664,0.705,1.0,-4.972,0.0,0.0382,0.0654,0.0,0.118,0.477,122.016,4.0,piano,onerepublic,counting stars
Arctic Monkeys - 505,1652,,40,,1987531,2431081810,Arctic Monkeys,505,arctic monkeys,505,38003.0,0BxE4FqsDD1Ot4YuBXwAPp,Arctic Monkeys,Favourite Worst Nightmare,505,88.0,253586.0,False,0.526,0.866,0.0,-5.822,1.0,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,4.0,garage,arctic monkeys,505
Bruno Mars - Locked out of Heaven,1663,,14,,3445221,2252225122,Bruno Mars,Locked out of Heaven,bruno mars,locked out of heaven,20910.0,3w3y8KPTfNeOKPiqUTakBh,Bruno Mars,Unorthodox Jukebox,Locked out of Heaven,87.0,233478.0,False,0.726,0.698,5.0,-4.165,1.0,0.0431,0.049,0.0,0.309,0.867,143.994,4.0,dance,bruno mars,locked out of heaven
The Goo Goo Dolls - Iris,1034,5.0,9,,3333439,2165996458,The Goo Goo Dolls,Iris,the goo goo dolls,iris,91810.0,5X5Dcmfb2nXFInfXQ7P5GD,The Goo Goo Dolls,La Fine dell'Estate,Iris,0.0,289906.0,False,0.291,0.791,11.0,-5.683,0.0,0.0361,0.00133,5.17e-06,0.0811,0.511,155.669,3.0,rock,the goo goo dolls,iris
Eminem - Without Me,1725,,29,,2404685,2157370825,Eminem,Without Me,eminem,without me,51159.0,7lQ8MOhq6IN2w8EYcFNSUk,Eminem,The Eminem Show,Without Me,88.0,290320.0,True,0.908,0.669,7.0,-2.827,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238,4.0,hip-hop,eminem,without me
Hozier - Take Me To Church,2205,139.0,1,(x30),2140282,2136257540,Hozier,Take Me To Church,hozier,take me to church,99017.0,3dYD57lRAUcMHufyqn9GcI,Hozier,Hozier,Take Me To Church,83.0,241688.0,False,0.566,0.664,4.0,-5.303,0.0,0.0464,0.634,0.0,0.116,0.437,128.945,4.0,singer-songwriter,hozier,take me to church
Dua Lipa - Don't Start Now,1152,235.0,2,(x7),6100930,2095889464,Dua Lipa,Don't Start Now,dua lipa,don't start now,20707.0,3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Future Nostalgia,Don't Start Now,81.0,183290.0,False,0.793,0.793,11.0,-4.521,0.0,0.083,0.0123,0.0,0.0951,0.679,123.95,4.0,dance,dua lipa,don't start now
Bruno Mars - That's What I Like,1369,57.0,5,,3482628,2000173728,Bruno Mars,That's What I Like,bruno mars,that's what i like,20702.0,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,24K Magic,That's What I Like,83.0,206693.0,False,0.853,0.56,1.0,-4.961,1.0,0.0406,0.013,0.0,0.0944,0.86,134.066,4.0,dance,bruno mars,that's what i like
Cigarettes After Sex - Apocalypse,1408,,44,,1982056,1990527523,Cigarettes After Sex,Apocalypse,cigarettes after sex,apocalypse,4002.0,0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,Cigarettes After Sex,Apocalypse,84.0,290616.0,False,0.37,0.467,5.0,-9.013,1.0,0.0273,0.0205,0.572,0.109,0.182,94.485,4.0,ambient,cigarettes after sex,apocalypse
Manuel Turizo - La Bachata,853,173.0,3,(x3),4806467,1936624976,Manuel Turizo,La Bachata,manuel turizo,la bachata,67356.0,5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,La Bachata,98.0,162637.0,False,0.835,0.679,7.0,-5.329,0.0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,4.0,latin,manuel turizo,la bachata
Travis Scott - goosebumps,1954,1.0,10,,3297928,1919311891,Travis Scott,goosebumps,travis scott,goosebumps,51504.0,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,Birds In The Trap Sing McKnight,goosebumps,84.0,243836.0,True,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,4.0,hip-hop,travis scott,goosebumps
Billie Eilish - bad guy,949,169.0,1,(x41),7220348,1887770085,Billie Eilish,bad guy,billie eilish,bad guy,31018.0,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,84.0,194087.0,False,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,4.0,electro,billie eilish,bad guy
Ed Sheeran - Photograph,2325,,13,,1769541,1886233733,Ed Sheeran,Photograph,ed sheeran,photograph,81764.0,1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,x (Deluxe Edition),Photograph,85.0,258986.0,False,0.614,0.379,4.0,-10.48,1.0,0.0476,0.607,0.000464,0.0986,0.201,107.989,4.0,pop,ed sheeran,photograph
Bruno Mars - Just the Way You Are,1312,,24,,2737304,1868596148,Bruno Mars,Just the Way You Are,bruno mars,just the way you are,20750.0,7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Doo-Wops & Hooligans,Just the Way You Are,82.0,220734.0,False,0.635,0.841,5.0,-5.379,1.0,0.0422,0.0134,0.0,0.0622,0.424,109.021,4.0,dance,bruno mars,just the way you are
The Killers - Mr. Brightside,1797,,29,,2417656,1866835459,The Killers,Mr. Brightside,the killers,mr. brightside,2015.0,23PvWFdi76vER4p1e2Xroj,The Killers,Workout Hits 2023,Mr. Brightside,2.0,223973.0,False,0.344,0.931,1.0,-3.759,1.0,0.0783,0.00104,0.0,0.0903,0.251,148.104,4.0,alt-rock,the killers,mr. brightside
Wham! - Last Christmas,563,216.0,1,(x5),24556791,1800431221,Wham!,Last Christmas,wham!,last christmas,25051.0,2FRnf9qhLbvw8fu4IBXx78,Wham!,LAST CHRISTMAS,Last Christmas,74.0,262960.0,False,0.735,0.478,2.0,-12.472,1.0,0.0293,0.189,2.48e-06,0.355,0.947,107.682,4.0,disco,wham!,last christmas
The Weeknd - Save Your Tears,1199,89.0,2,(x28),5000774,1776397493,The Weeknd,Save Your Tears,the weeknd,save your tears,81200.0,5QO79kh1waicV47BqGRL3g,The Weeknd,After Hours,Save Your Tears,89.0,215626.0,True,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,4.0,pop,the weeknd,save your tears
Keane - Somewhere Only We Know,1300,,60,,1815360,1758117193,Keane,Somewhere Only We Know,keane,somewhere only we know,79052.0,1SKPmfSYaPsETbRHaiA18G,Keane,Hopes And Fears,Somewhere Only We Know,85.0,237146.0,False,0.448,0.665,9.0,-4.203,1.0,0.026,0.06,2.55e-05,0.0828,0.304,172.004,4.0,piano,keane,somewhere only we know
The Walters - I Love You So,1216,,18,,2139814,1707448127,The Walters,I Love You So,the walters,i love you so,57053.0,4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,I Love You So,89.0,160239.0,False,0.575,0.648,10.0,-4.891,1.0,0.0358,0.583,0.0,0.115,0.466,75.977,4.0,indie,the walters,i love you so
OneRepublic - I Ain't Worried,797,53.0,7,,3861127,1664385796,OneRepublic,I Ain't Worried,onerepublic,i ain't worried,79000.0,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,96.0,148485.0,False,0.704,0.797,0.0,-5.927,1.0,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4.0,piano,onerepublic,i ain't worried
One Direction - Night Changes,1328,7.0,6,,5150464,1656087446,One Direction,Night Changes,one direction,night changes,81013.0,5O2P9iiztwhomNh8xkR9lJ,One Direction,FOUR (Deluxe),Night Changes,88.0,226600.0,False,0.672,0.52,8.0,-7.747,1.0,0.0353,0.859,0.0,0.115,0.37,120.001,4.0,pop,one direction,night changes
Ruth B. - Dandelions,1192,,32,,1772730,1632768311,Ruth B.,Dandelions,ruth b.,dandelions,81015.0,2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Safe Haven,Dandelions,90.0,233720.0,False,0.609,0.692,1.0,-2.958,1.0,0.0259,0.0157,0.0,0.0864,0.454,116.959,3.0,pop,ruth b.,dandelions
Bad Bunny - Tití Me Preguntó,598,186.0,4,,7640843,1627194220,Bad Bunny,Tití Me Preguntó,bad bunny,tití me preguntó,67359.0,1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Un Verano Sin Ti,Tití Me Preguntó,97.0,243716.0,False,0.65,0.715,5.0,-5.198,0.0,0.253,0.0993,0.000291,0.126,0.187,106.672,4.0,latin,bad bunny,tití me preguntó
Linkin Park - In the End,1127,1.0,8,,3356242,1623423258,Linkin Park,In the End,linkin park,in the end,3006.0,60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,Hybrid Theory (Bonus Edition),In the End,85.0,216880.0,False,0.556,0.864,3.0,-5.87,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143,4.0,alternative,linkin park,in the end
Olivia Rodrigo - good 4 u,549,121.0,1,(x47),12586645,1622311439,Olivia Rodrigo,good 4 u,olivia rodrigo,good 4 u,81702.0,4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,SOUR,good 4 u,88.0,178146.0,True,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0,0.0849,0.688,166.928,4.0,pop,olivia rodrigo,good 4 u
Adele - Easy On Me,801,152.0,1,(x47),19749704,1607515051,Adele,Easy On Me,adele,easy on me,11003.0,0gplL1WMoJ6iYaPgMCL0gX,Adele,Easy On Me,Easy On Me,85.0,224694.0,False,0.604,0.366,5.0,-7.519,1.0,0.0282,0.578,0.0,0.133,0.13,141.981,4.0,british,adele,easy on me
Olivia Rodrigo - drivers license,693,112.0,1,(x67),13714177,1597185646,Olivia Rodrigo,drivers license,olivia rodrigo,drivers license,81405.0,5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,SOUR,drivers license,88.0,242013.0,True,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,1.42e-05,0.106,0.137,143.875,4.0,pop,olivia rodrigo,drivers license
Dua Lipa - Levitating,812,80.0,4,,4626710,1581427006,Dua Lipa,Levitating,dua lipa,levitating,20020.0,39LLxExYz6ewLAcYrzQQyP,Dua Lipa,Future Nostalgia,Levitating,84.0,203807.0,False,0.695,0.884,6.0,-2.278,0.0,0.0753,0.0561,0.0,0.213,0.914,103.014,4.0,dance,dua lipa,levitating
Radiohead - Creep,957,,22,,2445752,1570570728,Radiohead,Creep,radiohead,creep,2053.0,70LcF31zb1H0PyJoS1Sx1r,Radiohead,Pablo Honey,Creep,85.0,238640.0,True,0.515,0.43,7.0,-9.935,1.0,0.0372,0.0097,0.000133,0.129,0.104,91.844,4.0,alt-rock,radiohead,creep
Ariana Grande - 7 rings,1000,112.0,1,(x68),10445538,1527094696,Ariana Grande,7 rings,ariana grande,7 rings,20009.0,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,"thank u, next",7 rings,84.0,178626.0,True,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,4.0,dance,ariana grande,7 rings
Justin Bieber - Ghost,972,8.0,10,,2641055,1502032372,Justin Bieber,Ghost,justin bieber,ghost,81118.0,6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Justice,Ghost,88.0,153190.0,False,0.601,0.741,2.0,-5.569,1.0,0.0478,0.185,2.91e-05,0.415,0.441,153.96,4.0,pop,justin bieber,ghost
XXXTENTACION - SAD!,1139,77.0,1,(x10),10415088,1501007363,XXXTENTACION,SAD!,xxxtentacion,sad!,33013.0,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,?,SAD!,83.0,166605.0,True,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,4.0,emo,xxxtentacion,sad!
Queen - Bohemian Rhapsody - Remastered 2011,1575,3.0,10,,2728139,1489726781,Queen,Bohemian Rhapsody - Remastered 2011,queen,bohemian rhapsody - remastered 2011,91365.0,4u7EnebtmKWzUH433cf5Qv,Queen,A Night At The Opera (2011 Remaster),Bohemian Rhapsody - Remastered 2011,82.0,354320.0,False,0.414,0.404,0.0,-9.928,0.0,0.0499,0.271,0.0,0.3,0.224,71.105,4.0,rock,queen,bohemian rhapsody - remastered 2011
Lana Del Rey - Summertime Sadness,1130,,74,,1646634,1460951229,Lana Del Rey,Summertime Sadness,lana del rey,summertime sadness,81689.0,1L9lVBNz63TWO3mNxbiIa5,Lana Del Rey,Halloween & Alternative,Summertime Sadness,0.0,263973.0,False,0.559,0.674,1.0,-6.125,0.0,0.0329,0.0312,0.0,0.121,0.197,111.976,4.0,pop,lana del rey,summertime sadness
XXXTENTACION - Jocelyn Flores,1481,9.0,2,(x3),7900110,1447811195,XXXTENTACION,Jocelyn Flores,xxxtentacion,jocelyn flores,33005.0,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,17,Jocelyn Flores,84.0,119133.0,True,0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.437,134.021,4.0,emo,xxxtentacion,jocelyn flores
Lil Nas X - MONTERO (Call Me By Your Name),513,157.0,1,(x40),8588023,1437151704,Lil Nas X,MONTERO (Call Me By Your Name),lil nas x,montero (call me by your name),51128.0,1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO,MONTERO (Call Me By Your Name),83.0,137704.0,True,0.593,0.503,8.0,-6.725,0.0,0.22,0.293,0.0,0.405,0.71,178.781,4.0,hip-hop,lil nas x,montero (call me by your name)
Travis Scott - SICKO MODE,1037,141.0,2,(x5),6546842,1425985849,Travis Scott,SICKO MODE,travis scott,sicko mode,51752.0,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,ASTROWORLD,SICKO MODE,83.0,312820.0,True,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,4.0,hip-hop,travis scott,sicko mode
Drake - God's Plan,717,146.0,1,(x74),8553009,1419636888,Drake,God's Plan,drake,god's plan,51250.0,6DCZcSspjsKoFjzjrWoCdn,Drake,Scorpion,God's Plan,84.0,198973.0,True,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,4.0,hip-hop,drake,god's plan
BTS - Dynamite,780,119.0,1,(x1),7778950,1392283880,BTS,Dynamite,bts,dynamite,65011.0,5QDLhrAOJJdNAmCTJ8xMyW,BTS,BE,Dynamite,85.0,199053.0,False,0.746,0.765,6.0,-4.41,0.0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4.0,k-pop,bts,dynamite
J. Cole - No Role Modelz,1600,,59,,1867073,1385586138,J. Cole,No Role Modelz,j. cole,no role modelz,51450.0,68Dni7IE4VyPkTOH9mRWHr,J. Cole,2014 Forest Hills Drive,No Role Modelz,88.0,292799.0,True,0.69,0.521,10.0,-8.492,0.0,0.339,0.324,0.0,0.0534,0.494,100.028,4.0,hip-hop,j. cole,no role modelz
Maroon 5 - Memories,889,99.0,2,(x5),4917468,1370441199,Maroon 5,Memories,maroon 5,memories,81263.0,4cktbXiXOapiLBMprHFErI,Maroon 5,JORDI (Deluxe),Memories,85.0,189486.0,False,0.775,0.327,11.0,-7.241,1.0,0.0557,0.841,0.0,0.0821,0.595,91.05,4.0,pop,maroon 5,memories
Brenda Lee - Rockin' Around The Christmas Tree,420,147.0,2,(x1),21635497,1367537621,Brenda Lee,Rockin' Around The Christmas Tree,brenda lee,rockin' around the christmas tree,92053.0,6miHkzLx5cKHhxSP3ozWQ6,Brenda Lee,Country Christmas Greatest Hits,Rockin' Around The Christmas Tree,1.0,124906.0,False,0.708,0.593,8.0,-6.167,1.0,0.046,0.764,0.0,0.484,0.856,140.508,4.0,rockabilly,brenda lee,rockin' around the christmas tree
Tears For Fears - Everybody Wants To Rule The World,1064,,36,,2222187,1350512766,Tears For Fears,Everybody Wants To Rule The World,tears for fears,everybody wants to rule the world,107001.0,4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),Everybody Wants To Rule The World,87.0,251488.0,False,0.645,0.795,7.0,-12.095,1.0,0.0527,0.347,0.00389,0.104,0.535,112.067,4.0,synth-pop,tears for fears,everybody wants to rule the world
Ed Sheeran - Bad Habits,550,146.0,3,(x26),6008275,1350227445,Ed Sheeran,Bad Habits,ed sheeran,bad habits,81354.0,3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,=,Bad Habits,88.0,230746.0,False,0.807,0.893,11.0,-3.745,0.0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,4.0,pop,ed sheeran,bad habits
Justin Bieber - Sorry,863,149.0,1,(x55),5324014,1277983356,Justin Bieber,Sorry,justin bieber,sorry,81342.0,7cC4Y0jQZ4eRoRqRQIau1x,Justin Bieber,Fiesta de disfraces vol. II,Sorry,0.0,200786.0,False,0.679,0.748,0.0,-3.624,0.0,0.0385,0.0878,0.0,0.299,0.438,100.035,4.0,pop,justin bieber,sorry
Conan Gray - Heather,1068,,11,,3771797,1276398039,Conan Gray,Heather,conan gray,heather,81664.0,4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Kid Krow,Heather,87.0,198040.0,False,0.357,0.425,5.0,-7.301,1.0,0.0333,0.584,0.0,0.322,0.27,102.078,3.0,pop,conan gray,heather
Ed Sheeran - Shivers,625,154.0,4,,5450839,1236107580,Ed Sheeran,Shivers,ed sheeran,shivers,81236.0,1euRAecw6xEwkt6lPXMbFP,Ed Sheeran,Today's Party Hits,Shivers,0.0,207853.0,False,0.788,0.859,2.0,-2.724,1.0,0.0856,0.281,0.0,0.0424,0.822,141.02,4.0,pop,ed sheeran,shivers
The Weeknd - The Hills,1304,80.0,3,(x8),2210786,1215765586,The Weeknd,The Hills,the weeknd,the hills,81074.0,4g7118rCobKcU4XQXSFlBS,The Weeknd,Drippy Drippy,The Hills,3.0,242280.0,True,0.565,0.551,0.0,-7.007,0.0,0.0687,0.0845,0.0,0.139,0.125,112.98,4.0,pop,the weeknd,the hills
Zara Larsson - Lush Life,876,32.0,4,,4514636,1210929295,Zara Larsson,Lush Life,zara larsson,lush life,20810.0,1rIKgCH4H52lrvDcz50hS8,Zara Larsson,So Good,Lush Life,78.0,201122.0,False,0.694,0.712,7.0,-3.923,0.0,0.046,0.132,0.0,0.211,0.799,98.023,4.0,dance,zara larsson,lush life
Justin Bieber - Love Yourself,925,154.0,1,(x25),4052773,1205868827,Justin Bieber,Love Yourself,justin bieber,love yourself,81400.0,50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Purpose (Deluxe),Love Yourself,84.0,233720.0,False,0.609,0.378,4.0,-9.828,1.0,0.438,0.835,0.0,0.28,0.515,100.418,4.0,pop,justin bieber,love yourself
Imagine Dragons - Thunder,1011,20.0,7,,3218477,1201439377,Imagine Dragons,Thunder,imagine dragons,thunder,91010.0,1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Evolve,Thunder,85.0,187146.0,False,0.605,0.822,0.0,-4.833,1.0,0.0438,0.00671,0.134,0.147,0.288,167.997,4.0,rock,imagine dragons,thunder
Linkin Park - Numb,816,,12,,3129200,1177118523,Linkin Park,Numb,linkin park,numb,3007.0,2nLtzopw4rPReszdYBJU6h,Linkin Park,Meteora,Numb,83.0,185586.0,False,0.496,0.863,9.0,-4.153,1.0,0.0381,0.0046,0.0,0.639,0.243,110.018,4.0,alternative,linkin park,numb
Arctic Monkeys - Do I Wanna Know?,1393,,69,,1442073,1170325314,Arctic Monkeys,Do I Wanna Know?,arctic monkeys,do i wanna know?,38001.0,5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,AM,Do I Wanna Know?,88.0,272394.0,False,0.548,0.532,5.0,-7.596,1.0,0.0323,0.186,0.000263,0.217,0.405,85.03,4.0,garage,arctic monkeys,do i wanna know?
Halsey - Without Me,840,124.0,3,(x10),4103411,1168628874,Halsey,Without Me,halsey,without me,20104.0,5p7ujcrUXASCNwRaWNHR1C,Halsey,Without Me,Without Me,78.0,201660.0,True,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4.0,dance,halsey,without me
Kendrick Lamar - HUMBLE.,791,83.0,1,(x7),6561530,1161514687,Kendrick Lamar,HUMBLE.,kendrick lamar,humble.,51500.0,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,DAMN.,HUMBLE.,84.0,177000.0,True,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,4.0,hip-hop,kendrick lamar,humble.
Dua Lipa - New Rules,711,161.0,2,(x24),4497944,1140597500,Dua Lipa,New Rules,dua lipa,new rules,20307.0,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,Dua Lipa (Deluxe),New Rules,81.0,209320.0,False,0.762,0.7,9.0,-6.021,0.0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,4.0,dance,dua lipa,new rules
