Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Title,Artist_clean,Title_clean,Unnamed: 0.1,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,artists_clean,track_name_clean
XXXTENTACION - Ex Bitch,2,,107,,1048424,1840704,XXXTENTACION,Ex Bitch,xxxtentacion,ex bitch,33004.0,40KuvsFD0zpUFuCcmt5Xm0,XXXTENTACION,Bad Vibes Forever,Ex Bitch,73.0,121671.0,True,0.835,0.462,7.0,-6.227,1.0,0.155,0.513,0.0,0.0875,0.702,78.99,4.0,emo,xxxtentacion,ex bitch
Arctic Monkeys - Batphone,2,,70,,1198964,1831585,Arctic Monkeys,Batphone,arctic monkeys,batphone,38310.0,7aiKdAM9WYW3GzWSA9OXIl,Arctic Monkeys,Tranquility Base Hotel & Casino,Batphone,51.0,271613.0,False,0.675,0.681,5.0,-5.728,0.0,0.0356,0.312,0.0,0.304,0.675,106.521,4.0,garage,arctic monkeys,batphone
Bring Me The Horizon - Teardrops,2,,106,,1006022,1825729,Bring Me The Horizon,Teardrops,bring me the horizon,teardrops,71642.0,3WATWS2Ywo5HeHtG0bE2iZ,Bring Me The Horizon,POST HUMAN: SURVIVAL HORROR,Teardrops,67.0,215003.0,True,0.497,0.916,7.0,-3.323,1.0,0.108,0.000323,0.0,0.36,0.401,96.051,4.0,metal,bring me the horizon,teardrops
BTS - Blood Sweat & Tears,3,,123,,1176834,1822641,BTS,Blood Sweat & Tears,bts,blood sweat & tears,65065.0,2u54HNQamwFuOMLSuhSRom,BTS,Wings,Blood Sweat & Tears,75.0,217051.0,False,0.584,0.885,0.0,-3.571,0.0,0.104,0.0244,0.0,0.357,0.605,92.9,4.0,k-pop,bts,blood sweat & tears
Arctic Monkeys - The Ultracheese,2,,73,,1179368,1812066,Arctic Monkeys,The Ultracheese,arctic monkeys,the ultracheese,38174.0,3PhbzvTllkq1rkULafc6ns,Arctic Monkeys,Tranquility Base Hotel & Casino,The Ultracheese,55.0,217720.0,False,0.476,0.555,9.0,-6.551,1.0,0.0404,0.624,3.98e-05,0.126,0.426,131.497,3.0,garage,arctic monkeys,the ultracheese
BTS - Epiphany,3,,157,,678432,1806165,BTS,Epiphany,bts,epiphany,65182.0,6L88EH68XwlaXwvChlTS41,BTS,Love Yourself 結 'Answer',Epiphany,72.0,240361.0,False,0.508,0.559,2.0,-6.366,0.0,0.0276,0.288,0.0,0.131,0.329,135.866,4.0,k-pop,bts,epiphany
Rammstein - Zick Zack,2,,165,,929134,1789037,Rammstein,Zick Zack,rammstein,zick zack,58061.0,2w7Ca8DNYXBCgA6Bht7o0N,Rammstein,Zeit,Zick Zack,72.0,244365.0,False,0.669,0.814,5.0,-5.375,0.0,0.0681,0.00118,0.00131,0.0737,0.398,130.014,4.0,industrial,rammstein,zick zack
Foo Fighters - The Sky Is A Neighborhood,3,,123,,687789,1780682,Foo Fighters,The Sky Is A Neighborhood,foo fighters,the sky is a neighborhood,44334.0,3kdMzXOcrDIdSWLdONHNK5,Foo Fighters,Concrete and Gold,The Sky Is A Neighborhood,65.0,244573.0,False,0.357,0.549,11.0,-7.843,0.0,0.0698,0.000798,0.00485,0.22,0.531,130.749,4.0,grunge,foo fighters,the sky is a neighborhood
Rammstein - AUSLÄNDER,2,,107,,1050174,1733858,Rammstein,AUSLÄNDER,rammstein,ausländer,58069.0,7j43FohbLVulScL7S9sQZk,Rammstein,Rammstein,Ausländer,72.0,231603.0,False,0.681,0.912,0.0,-4.159,1.0,0.0912,0.000757,0.00136,0.359,0.479,125.031,4.0,industrial,rammstein,ausländer
Bring Me The Horizon - Throne,7,,130,,290084,1721410,Bring Me The Horizon,Throne,bring me the horizon,throne,71270.0,0M3adYbGtyRHACP86dey1H,Bring Me The Horizon,That's The Spirit,Throne,74.0,191520.0,False,0.426,0.888,0.0,-3.72,0.0,0.0987,0.000455,0.0,0.306,0.387,144.111,4.0,metal,bring me the horizon,throne
